user_id,age,gender,city,membership,preferred_category,signup_date,customer_segment,is_active
U00020,53,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Formal",2024-05-16,Premium Customer,True
U00021,37,Female,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Suits & Sport Coats › Suits",2024-11-25,Occasional Buyer,True
U00022,32,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Base Layers & Compression › Compression Shorts",2023-04-17,Occasional Buyer,True
U00023,22,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2023-11-08,Window Shopper,True
U00024,35,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Women › Shoes › Flats",2025-03-26,Occasional Buyer,False
U00025,44,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Sleep & Lounge › Sleep Sets",2023-12-27,Occasional Buyer,False
U00026,21,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxer Briefs",2022-08-12,Window Shopper,True
U00027,52,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Sport Specific Clothing › Skiing › Men › Jackets",2024-08-05,Window Shopper,True
U00028,46,Male,Hyderabad,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Work",2022-01-31,Premium Customer,True
U00029,28,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Running › Road Running",2022-05-01,Window Shopper,True
U00030,42,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Jeans",2025-02-12,Occasional Buyer,False
U00031,27,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",2025-04-01,Loyal Customer,True
U00032,38,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › T-Shirts",2024-12-23,Window Shopper,True
U00033,29,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shorts › Flat Front",2024-04-06,Window Shopper,True
U00034,55,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Sleepwear & Robes › Nightgowns",2025-04-10,Occasional Buyer,True
U00035,34,Male,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2023-06-28,Occasional Buyer,True
U00036,47,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Boys › Clothing › Tops, Tees & Shirts › Tees",2025-02-27,Premium Customer,True
U00037,52,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxers",2022-05-21,Loyal Customer,True
U00038,36,Male,Delhi,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Jeans",2023-09-12,Occasional Buyer,True
U00039,60,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2023-06-26,Window Shopper,True
U00040,53,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxers",2023-12-04,Window Shopper,True
U00041,50,Female,Mumbai,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2022-07-09,Occasional Buyer,True
U00042,20,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Boys › Clothing › Tops, Tees & Shirts › Polos",2023-06-21,Window Shopper,False
U00043,53,Female,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Button-Down Shirts",2022-11-02,Occasional Buyer,True
U00044,55,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Pants › Sweatpants",2024-01-17,Loyal Customer,True
U00045,40,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2023-12-26,Loyal Customer,False
U00046,57,Male,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Casual",2024-04-24,Window Shopper,True
U00047,44,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Pants › Casual",2022-08-10,Occasional Buyer,True
U00048,48,Male,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Tunics",2023-12-18,Window Shopper,True
U00049,32,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2023-07-25,Loyal Customer,True
U00050,40,Female,Chennai,Platinum,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Casual",2023-11-10,Premium Customer,True
U00051,34,Male,Pune,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Active & Performance › Shells",2022-03-20,Window Shopper,False
U00052,40,Female,Delhi,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Tunics",2022-08-25,Occasional Buyer,True
U00053,34,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses",2025-01-07,Occasional Buyer,True
U00054,41,Female,Hyderabad,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees",2023-10-05,Occasional Buyer,True
U00055,37,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Shoes › Fashion Sneakers",2023-08-29,Occasional Buyer,True
U00056,44,Female,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Dress",2025-03-11,Window Shopper,True
U00057,37,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Running › Road Running",2023-10-22,Occasional Buyer,False
U00058,31,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing",2023-08-05,Occasional Buyer,True
U00059,23,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2022-10-29,Window Shopper,True
U00060,48,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Boys › Clothing › Fashion Hoodies & Sweatshirts",2025-03-24,Window Shopper,False
U00061,49,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Casual",2022-01-12,Loyal Customer,True
U00062,45,Male,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Women › Accessories › Belts",2024-11-26,Occasional Buyer,True
U00063,25,Female,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Clothing Sets › Pant Sets",2024-12-23,Premium Customer,True
U00064,46,Female,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Casual",2024-08-30,Occasional Buyer,True
U00065,58,Female,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2023-07-17,Occasional Buyer,True
U00066,33,Female,Mumbai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Work",2022-06-15,Window Shopper,True
U00067,42,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Running › Road Running",2024-04-14,Window Shopper,False
U00068,44,Male,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Men › Shoes › Loafers & Slip-Ons",2025-04-11,Premium Customer,True
U00069,54,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxer Briefs",2023-09-04,Loyal Customer,False
U00070,52,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Suits & Sport Coats › Suits",2024-09-21,Window Shopper,True
U00071,60,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Blouses & Button-Down Shirts",2022-09-19,Premium Customer,True
U00072,43,Male,Hyderabad,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2024-08-03,Window Shopper,True
U00073,42,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Briefs",2024-02-16,Window Shopper,False
U00074,34,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Casual",2022-04-17,Premium Customer,True
U00075,32,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Undershirts",2023-05-22,Window Shopper,True
U00076,57,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Bodysuits",2022-08-23,Occasional Buyer,True
U00077,47,Female,Mumbai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Formal",2022-08-23,Loyal Customer,True
U00078,37,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Sets › Active Tracksuits",2025-03-25,Occasional Buyer,False
U00079,43,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Boys › Clothing › Active › Active Shirts & Tees › T-Shirts",2023-05-13,Window Shopper,True
U00080,56,Male,Pune,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxer Briefs",2024-12-27,Occasional Buyer,True
U00081,22,Female,Hyderabad,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Blouses & Button-Down Shirts",2022-08-05,Occasional Buyer,True
U00082,58,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Dress",2024-12-04,Premium Customer,True
U00083,57,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Women",2023-07-04,Window Shopper,True
U00084,23,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › T-Shirts",2025-03-13,Occasional Buyer,False
U00085,39,Male,Delhi,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Suits & Sport Coats › Suit Separates › Suit Pants",2024-09-25,Window Shopper,True
U00086,39,Female,Pune,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Down & Down Alternative",2025-02-12,Window Shopper,True
U00087,23,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Tunics",2023-05-08,Occasional Buyer,False
U00088,46,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Shoes › Fashion Sneakers",2023-05-14,Window Shopper,True
U00089,48,Female,Delhi,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2023-11-09,Occasional Buyer,False
U00090,35,Female,Mumbai,Silver,"Clothing, Shoes & Jewelry › Sport Specific Clothing › Golf › Men › Pants",2023-10-09,Window Shopper,True
U00091,30,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Shoes › Loafers & Slip-Ons",2024-12-10,Occasional Buyer,True
U00092,30,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Hoodies",2022-01-29,Loyal Customer,True
U00093,35,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Jeans",2022-09-16,Occasional Buyer,False
U00094,24,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Blouses & Button-Down Shirts",2024-06-21,Window Shopper,True
U00095,34,Female,Hyderabad,Gold,"Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Running › Road Running",2024-10-04,Window Shopper,True
U00096,27,Male,Pune,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Sweatshirts",2023-05-24,Window Shopper,False
U00097,56,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Suits & Sport Coats › Suits",2023-09-01,Loyal Customer,False
U00098,37,Male,Pune,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",2023-03-02,Occasional Buyer,True
U00099,60,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2022-06-03,Window Shopper,False
U00100,46,Female,Mumbai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Fashion Hoodies & Sweatshirts",2023-08-03,Loyal Customer,False
U00101,22,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Boys › Clothing › Active › Active Shorts",2023-02-10,Occasional Buyer,True
U00102,59,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",2022-05-03,Window Shopper,True
U00103,56,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Jeans",2023-09-15,Occasional Buyer,True
U00104,50,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",2024-06-03,Loyal Customer,True
U00105,19,Male,Bengaluru,Platinum,"Clothing, Shoes & Jewelry › Women › Shoes › Fashion Sneakers",2022-02-12,Premium Customer,True
U00106,54,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Sleepwear & Robes › Nightgowns",2024-06-24,Premium Customer,True
U00107,55,Female,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › T-Shirts",2024-08-20,Window Shopper,True
U00108,38,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Jeans",2024-10-11,Window Shopper,False
U00109,53,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Wool & Blends",2023-10-25,Window Shopper,False
U00110,50,Male,Chennai,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Swimsuits & Cover Ups › Cover-Ups",2024-04-26,Window Shopper,True
U00111,57,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2023-02-21,Window Shopper,True
U00112,36,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2023-05-06,Loyal Customer,True
U00113,53,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2022-08-21,Occasional Buyer,True
U00114,59,Male,Delhi,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › T-Shirts",2024-11-08,Loyal Customer,False
U00115,48,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2024-02-25,Window Shopper,True
U00116,22,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Blouses & Button-Down Shirts",2023-07-02,Loyal Customer,True
U00117,37,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Tunics",2023-12-08,Window Shopper,False
U00118,47,Female,Bengaluru,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2025-03-17,Occasional Buyer,False
U00119,20,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Running › Road Running",2024-03-01,Premium Customer,True
U00120,49,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Women › Dresses",2023-11-11,Loyal Customer,False
U00121,24,Female,Hyderabad,Gold,"Clothing, Shoes & Jewelry › Men › Shoes › Loafers & Slip-Ons",2022-11-13,Window Shopper,True
U00122,39,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2024-12-28,Occasional Buyer,True
U00123,58,Female,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",2023-04-26,Occasional Buyer,True
U00124,32,Male,Delhi,Platinum,"Clothing, Shoes & Jewelry › Boys › Clothing › Active › Active Shirts & Tees › T-Shirts",2022-07-25,Occasional Buyer,True
U00125,19,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › T-Shirts",2024-01-05,Occasional Buyer,True
U00126,33,Female,Pune,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Casual",2022-12-15,Window Shopper,False
U00127,57,Male,Delhi,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2023-04-21,Occasional Buyer,True
U00128,47,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Blouses & Button-Down Shirts › Button-Down Shirts",2023-08-13,Occasional Buyer,True
U00129,22,Female,Mumbai,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › Polos",2024-05-18,Occasional Buyer,False
U00130,37,Male,Delhi,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2023-05-01,Occasional Buyer,True
U00131,54,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Clothing Sets › Short Sets",2024-03-21,Window Shopper,True
U00132,56,Female,Mumbai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2023-12-23,Window Shopper,True
U00133,57,Female,Chennai,Gold,"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Sleepwear & Robes › Robes",2022-10-08,Occasional Buyer,True
U00134,37,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2022-07-04,Premium Customer,True
U00135,44,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses › Casual",2024-01-20,Occasional Buyer,True
U00136,28,Female,Delhi,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Pants › Track Pants",2023-11-25,Loyal Customer,False
U00137,22,Male,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Baby › Baby Girls › Clothing › Footies & Rompers › Footies",2024-03-24,Premium Customer,True
U00138,23,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2024-07-20,Occasional Buyer,True
U00139,55,Female,Chennai,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2023-04-24,Occasional Buyer,True
U00140,57,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › T-Shirts",2023-09-11,Occasional Buyer,True
U00141,26,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Tunics",2022-08-26,Window Shopper,True
U00142,42,Female,Mumbai,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Jeans",2025-01-11,Occasional Buyer,True
U00143,44,Male,Delhi,Gold,"Clothing, Shoes & Jewelry › Men › Uniforms, Work & Safety › Clothing › Work Utility & Safety › Outerwear",2022-03-09,Occasional Buyer,True
U00144,46,Female,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",2024-01-23,Occasional Buyer,True
U00145,21,Female,Mumbai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2024-07-20,Window Shopper,True
U00146,59,Male,Hyderabad,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Fleece",2022-09-15,Loyal Customer,True
U00147,22,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Swim › Board Shorts",2023-11-04,Loyal Customer,True
U00148,35,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Dress",2022-08-14,Occasional Buyer,True
U00149,26,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Sport Specific Clothing › Hiking & Outdoor Recreation › Men › Shorts",2023-10-26,Window Shopper,True
U00150,21,Male,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2022-05-11,Occasional Buyer,True
U00151,50,Male,Delhi,Silver,General,2022-03-30,Loyal Customer,True
U00152,47,Male,Hyderabad,Platinum,"Clothing, Shoes & Jewelry › Men › Shoes › Loafers & Slip-Ons",2024-05-23,Occasional Buyer,False
U00153,46,Male,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2022-05-15,Window Shopper,True
U00154,42,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Sleep & Lounge › Sleep Sets",2022-07-23,Loyal Customer,True
U00155,59,Male,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shorts",2024-04-27,Window Shopper,False
U00156,43,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Dresses",2023-10-03,Occasional Buyer,True
U00157,27,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Sweatshirts",2022-07-10,Occasional Buyer,True
U00158,26,Male,Pune,Platinum,"Clothing, Shoes & Jewelry › Women › Shoes › Fashion Sneakers",2023-11-07,Occasional Buyer,False
U00159,40,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jackets & Coats › Wool & Blends",2023-10-02,Occasional Buyer,True
U00160,27,Female,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxers",2025-02-13,Occasional Buyer,True
U00161,54,Male,Delhi,Gold,"Clothing, Shoes & Jewelry › Boys › Clothing › Tops, Tees & Shirts › Tees",2025-02-14,Window Shopper,True
U00162,19,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › T-Shirts",2023-11-27,Occasional Buyer,True
U00163,27,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Boys › Clothing › Active › Active Shirts & Tees › T-Shirts",2022-03-04,Window Shopper,True
U00164,42,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Athletic Socks › Crew Socks",2023-10-01,Loyal Customer,True
U00165,21,Male,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2022-06-17,Window Shopper,False
U00166,49,Female,Delhi,Silver,"Clothing, Shoes & Jewelry › Women › Clothing › Lingerie, Sleep & Lounge › Lingerie › Shapewear › Control Panties",2022-08-22,Window Shopper,True
U00167,36,Female,Pune,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2023-03-28,Occasional Buyer,True
U00168,18,Male,Mumbai,Platinum,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2023-06-08,Window Shopper,True
U00169,18,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2024-02-18,Occasional Buyer,True
U00170,50,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2024-06-12,Window Shopper,True
U00171,38,Female,Pune,Silver,"Clothing, Shoes & Jewelry › Boys › Clothing › Active › Active Shorts",2024-05-05,Window Shopper,False
U00172,19,Female,Bengaluru,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Tunics",2024-07-31,Loyal Customer,True
U00173,23,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Women › Shoes › Loafers & Slip-Ons",2024-03-31,Occasional Buyer,False
U00174,37,Female,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Casual",2022-06-06,Occasional Buyer,True
U00175,51,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Baby › Baby Boys › Clothing › Sleepwear & Robes › Pajama Sets",2022-10-30,Window Shopper,True
U00176,34,Male,Bengaluru,Gold,General,2022-06-04,Window Shopper,False
U00177,47,Female,Chennai,Platinum,"Clothing, Shoes & Jewelry › Women › Shoes › Fashion Sneakers",2023-10-24,Loyal Customer,True
U00178,27,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Boys › Clothing › Pants",2023-09-13,Loyal Customer,True
U00179,40,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",2022-04-27,Occasional Buyer,True
U00180,22,Male,Pune,Silver,"Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Running › Road Running",2024-08-05,Occasional Buyer,True
U00181,46,Male,Mumbai,Gold,"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › Blouses & Button-Down Shirts",2022-11-05,Premium Customer,False
U00182,24,Female,Chennai,Silver,"Clothing, Shoes & Jewelry › Boys › Clothing › Pants",2022-12-20,Window Shopper,False
U00183,46,Male,Mumbai,Silver,"Clothing, Shoes & Jewelry › Men › Uniforms, Work & Safety › Clothing › Military › Outerwear",2024-03-04,Occasional Buyer,True
U00184,56,Male,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",2023-11-07,Window Shopper,False
U00185,36,Female,Chennai,Gold,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Women › Dresses",2022-11-04,Window Shopper,True
U00186,40,Female,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Running › Road Running",2022-09-22,Occasional Buyer,True
U00187,37,Female,Chennai,Gold,"Clothing, Shoes & Jewelry › Men › Clothing › Jeans",2024-12-14,Window Shopper,False
U00188,50,Female,Hyderabad,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Pants › Casual",2023-03-15,Window Shopper,False
U00189,30,Male,Bengaluru,Silver,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Pants › Track Pants",2022-07-27,Occasional Buyer,True
